"Name","Vendor","comName"
"HP EliteBook 840 14 inch G9 Notebook PC","HP","GJPC-0439.aus.gjames.com.au"
"HP Elite Dragonfly G2 Notebook PC","HP","GJLT-1601.aus.gjames.com.au"
"HP Elite Dragonfly G2 Notebook PC","HP","GJLT-1601.aus.gjames.com.au"
"30BGS2WJ00","LENOVO","GJPC-0503.aus.gjames.com.au"
"30BGS2WJ00","LENOVO","GJPC-0503.aus.gjames.com.au"
"HP EliteBook x360 1040 G8 Notebook PC","HP","GJPC-0452.aus.gjames.com.au"
"HP EliteBook 840 G8 Notebook PC","HP","GJLT-1683.aus.gjames.com.au"
"HP EliteBook 840 G8 Notebook PC","HP","GJPC-0454.aus.gjames.com.au"
"HP EliteBook 840 G8 Notebook PC","HP","GJPC-0454.aus.gjames.com.au"
"HP EliteBook 840 14 inch G9 Notebook PC","HP","GJLT-1433.aus.gjames.com.au"
"HP EliteBook 840 14 inch G9 Notebook PC","HP","GJPC-0270.aus.gjames.com.au"
"HP EliteBook 840 14 inch G9 Notebook PC","HP","GJLT-1409.aus.gjames.com.au"
"HP EliteBook 840 14 inch G9 Notebook PC","HP","GJLT-1409.aus.gjames.com.au"
"HP EliteBook 840 G8 Notebook PC","HP","GJLT-1656.aus.gjames.com.au"
"HP EliteBook x360 1040 G8 Notebook PC","HP","GJPC-0452.aus.gjames.com.au"
"20HCS0K100","LENOVO","GJLT-0549.aus.gjames.com.au"
"HP EliteBook 840 14 inch G9 Notebook PC","HP","GJPC-0417.aus.gjames.com.au"
"HP EliteBook 840 14 inch G9 Notebook PC","HP","GJPC-0417.aus.gjames.com.au"
"10M7S0L900","LENOVO","GJWS-0384.aus.gjames.com.au"
"10M7S0L900","LENOVO","GJWS-0384.aus.gjames.com.au"
"HP Z240 SFF Workstation","HP","GJWS-4053.aus.gjames.com.au"
"HP Z240 SFF Workstation","HP","GJWS-4053.aus.gjames.com.au"
"HP EliteBook 840 G8 Notebook PC","HP","GJLT-1665.aus.gjames.com.au"
"HP Elite SFF 800 G9 Desktop PC","HP","GJPC-0479.aus.gjames.com.au"
"HP ZBook Fury 16 G9 Mobile Workstation PC","HP","GJPC-0424.aus.gjames.com.au"
"HP ZBook Fury 16 G9 Mobile Workstation PC","HP","GJPC-0424.aus.gjames.com.au"
"HP EliteBook 840 G8 Notebook PC","HP","GJLT-1665.aus.gjames.com.au"
"HP EliteBook 840 G8 Notebook PC","HP","GJLT-1665.aus.gjames.com.au"
"20HCS0K100","LENOVO","GJLT-0549.aus.gjames.com.au"
"20HCS0K100","LENOVO","GJLT-0549.aus.gjames.com.au"
"HP ZBook Fury 16 G9 Mobile Workstation PC","HP","GJPC-0424.aus.gjames.com.au"
"HP ZBook Fury 16 G9 Mobile Workstation PC","HP","GJPC-0424.aus.gjames.com.au"
"HP Elite x360 1040 14 inch G9 2-in-1 Notebook PC","HP","GJPC-0464.aus.gjames.com.au"
"HP Elite x360 1040 14 inch G9 2-in-1 Notebook PC","HP","GJPC-0464.aus.gjames.com.au"
"20Q5S0CN00","LENOVO","GJLT-1581.aus.gjames.com.au"
