"Model categories","Class","Manufacturer","Model number","Name","Owner","Status","Expenditure type","Asset tracking strategy","Asset tracking unit"
"Mobile Handset","cmdb_hardware_product_model","","","","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Tablet","cmdb_hardware_product_model","GETAC","F110G5","F110G5","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP Elite Dragonfly G2 Notebook PC","HP Elite Dragonfly G2 Notebook PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP Elite Mini 800 G9 Desktop PC","HP Elite Mini 800 G9 Desktop PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP Elite SFF 800 G9 Desktop PC","HP Elite SFF 800 G9 Desktop PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Computer","cmdb_hardware_product_model","Hewlett-Packard","HP Elite x2 G8 Tablet","HP Elite x2 G8 Tablet","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP Elite x360 1040 14 inch G9 2-in-1 Notebook PC","HP Elite x360 1040 14 inch G9 2-in-1 Notebook PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP Elite x360 830 13 inch G9 2-in-1 Notebook PC","HP Elite x360 830 13 inch G9 2-in-1 Notebook PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP EliteBook 650 15.6 inch G9 Notebook PC","HP EliteBook 650 15.6 inch G9 Notebook PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP EliteBook 840 14 inch G9 Notebook PC","HP EliteBook 840 14 inch G9 Notebook PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP EliteBook 840 G8 Notebook PC","HP EliteBook 840 G8 Notebook PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP EliteBook 860 16 inch G9 Notebook PC","HP EliteBook 860 16 inch G9 Notebook PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP EliteBook x360 1030 G7 Notebook PC","HP EliteBook x360 1030 G7 Notebook PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP EliteBook x360 1030 G8 Notebook PC","HP EliteBook x360 1030 G8 Notebook PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP EliteBook x360 1040 G8 Notebook PC","HP EliteBook x360 1040 G8 Notebook PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP EliteDesk 800 G8 Desktop Mini PC","HP EliteDesk 800 G8 Desktop Mini PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP ProBook 450 15.6 inch G9 Notebook PC","HP ProBook 450 15.6 inch G9 Notebook PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP ProBook 650 G8 Notebook PC","HP ProBook 650 G8 Notebook PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP ProDesk 600 G6 Desktop Mini PC","HP ProDesk 600 G6 Desktop Mini PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP ProDesk 600 G6 Small Form Factor PC","HP ProDesk 600 G6 Small Form Factor PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Standard","cmdb_hardware_product_model","Hewlett-Packard","HP Z240 SFF Workstation","HP Z240 SFF Workstation","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Advanced","cmdb_hardware_product_model","Hewlett-Packard","HP Z440 Workstation","HP Z440 Workstation","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Advanced","cmdb_hardware_product_model","Hewlett-Packard","HP ZBook Firefly 16 inch G9 Mobile Workstation PC","HP ZBook Firefly 16 inch G9 Mobile Workstation PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Advanced","cmdb_hardware_product_model","Hewlett-Packard","HP ZBook Fury 15.6 inch G8 Mobile Workstation PC","HP ZBook Fury 15.6 inch G8 Mobile Workstation PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Advanced","cmdb_hardware_product_model","Hewlett-Packard","HP ZBook Fury 16 G9 Mobile Workstation PC","HP ZBook Fury 16 G9 Mobile Workstation PC","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Advanced","cmdb_hardware_product_model","Hewlett-Packard","HP ZBook Fury 17 G7 Mobile Workstation","HP ZBook Fury 17 G7 Mobile Workstation","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Tablet","cmdb_hardware_product_model","Apple","iPad (9th generation)","iPad (9th generation)","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 11","iPhone 11","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 11 Pro","iPhone 11 Pro","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 12","iPhone 12","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 13","iPhone 13","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 13 Pro","iPhone 13 Pro","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 14","iPhone 14","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 14 Pro Max","iPhone 14 Pro Max","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 5S","iPhone 5S","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 6s","iPhone 6s","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 6s Plus","iPhone 6s Plus","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 7","iPhone 7","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone 8 Plus","iPhone 8 Plus","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone SE","iPhone SE","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone SE (1st generation)","iPhone SE (1st generation)","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone SE (2nd generation)","iPhone SE (2nd generation)","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone SE (3rd generation)","iPhone SE (3rd generation)","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Mobile Handset","cmdb_hardware_product_model","Apple","iPhone XR","iPhone XR","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Tablet","cmdb_hardware_product_model","Microsoft Corporation","Surface Book","Microsoft Corporation SURFACE BOOK i7 GPU2","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Tablet","cmdb_hardware_product_model","Microsoft Corporation","Surface Pro","Microsoft Corporation Surface Pro","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Tablet","cmdb_hardware_product_model","Microsoft Corporation","Surface Book 3","Microsoft Corporation Surface Pro 3","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Tablet","cmdb_hardware_product_model","samsung","SM-X200","Samsung Galaxy Tab A8 10.5 (2021)","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Tablet","cmdb_hardware_product_model","samsung","SM-T636B","Samsung Galaxy Tab Active4 Pro","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","LENOVO","20FN001CAU","T460","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Standard","cmdb_hardware_product_model","LENOVO","10M7S0L900","ThinkCentre M710S","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Standard","cmdb_hardware_product_model","LENOVO","10ST000CAU","ThinkCentre M720","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Standard","cmdb_hardware_product_model","LENOVO","10RSS0LE00","ThinkCentre M920q","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","LENOVO","20J5S24500","ThinkPad L470","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","LENOVO","20LSS0DD00","ThinkPad L480","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","LENOVO","20Q5S0CN00","ThinkPad L490","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Advanced","cmdb_hardware_product_model","LENOVO","20HCS0K100","ThinkPad P51s","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Advanced","cmdb_hardware_product_model","LENOVO","20HJS2AV00","ThinkPad P52s","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Advanced","cmdb_hardware_product_model","LENOVO","20N6S04A00","ThinkPad P53s","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Advanced","cmdb_hardware_product_model","LENOVO","30BGS19800","ThinkStation P320","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Advanced","cmdb_hardware_product_model","LENOVO","30BGS4EE00","ThinkStation P320 (a)","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Advanced","cmdb_hardware_product_model","LENOVO","30BGS2WJ00","ThinkStation P330 i7","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Workstation - Advanced","cmdb_hardware_product_model","LENOVO","30CYS0U500","ThinkStation P330 i7 P4000","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","LENOVO","20F6008EAU","X260","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
"Laptop - Standard","cmdb_hardware_product_model","LENOVO","20HMS04600","X260 c","Ross Lennox","In Production","Capex","Leave to category","Individual Unit"
