SerialNumber,HostName,HostIp,ModelNumber,DisplayStatus,Manufacturer,UserName,FirmwareVersion
CN42440PDW,GJPC-0144.aus.gjames.com.au,10.54.4.105,HP E24u G4,Not Connected,HPN,e103785,1.0.8.0
H4LRB00923,GJLT-1601.aus.gjames.com.au,192.168.1.13,LF24T450F,Not Connected,SAM,e103978,
H4ZRB00689,GJLT-1601.aus.gjames.com.au,192.168.1.13,LF24T450F,Not Connected,SAM,e103978,
H4ZT200312,GJPC-0280.aus.gjames.com.au,192.168.1.107,LF24T450F,Not Connected,SAM,e104035,
H4LRB01429,GJPC-0280.aus.gjames.com.au,192.168.1.107,LF24T450F,Not Connected,SAM,e104035,
H4ZT200309,GJPC-0452.aus.gjames.com.au,10.54.4.139,LF24T450F,ON,SAM,e103429,
HTHFA00493,GJLT-1683.aus.gjames.com.au,10.55.4.163,S24C650,ON,SAM,e104347,
H4LRB01138,GJLT-1411.aus.gjames.com.au,10.54.4.188,LF24T450F,Not Connected,SAM,e103719,
H4ZRB00140,GJLT-1629.aus.gjames.com.au,192.168.1.110,LF24T450F,Not Connected,SAM,e021380,
000,GJPC-0360.aus.gjames.com.au,10.55.4.174,KALED35UWLB,ON,KGN,e017907,
CNC25126Z3,GJPC-0270.aus.gjames.com.au,10.54.4.153,HP P34hc G4,Not Connected,HPN,e103761,1.0.5.0
H4ZJ800266,GJPC-0144.aus.gjames.com.au,10.54.4.105,S24E650,ON,SAM,e103785,
H4ZK400612,GJPC-0144.aus.gjames.com.au,10.54.4.105,S24E650,Not Connected,SAM,e103785,
H4ZRC01222,GJPC-0144.aus.gjames.com.au,10.54.4.105,LF24T450F,ON,SAM,e103785,
HNAR304971,GJLT-1409.aus.gjames.com.au,10.54.4.189,LF24T450F,ON,SAM,e101622,
H4LRA00179,GJLT-1409.aus.gjames.com.au,10.54.4.189,LF24T450F,ON,SAM,e101622,
4766G26JAKWL,GJLT-1629.aus.gjames.com.au,192.168.1.110,DELL ST2320L,Not Connected,DEL,e021380,
TATSA0028524,GJLT-1629.aus.gjames.com.au,192.168.1.110,KG271U,Not Connected,ACR,e021380,
UID4145,GJPC-0387.aus.gjames.com.au,10.55.4.69,LG ULTRAWIDE,Not Connected,GSM,e101380,
