,,,,,,,,,,,,,,,
Customer account,Name,Creation date,Tax Invoice,Tax invoice date,Customer PO,Purchase order date,Delivery address,Item number,Product name,Quantity,Sales price,Net amount,GST,Gross amount,Serial number
CUS18253,G JAMES AUSTRALIA PTY LTD,10/01/2022,INESA290713,24/05/2022,1442533,11/01/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",UC-SB1-CAM,CRESTRON UC VIDEO CONFERENCE SMART SOUNDBAR & CAMERA,1.00,"1,281.00","1,281.00",128.10,"1,409.10",2148JBM01969
CUS18253,G JAMES AUSTRALIA PTY LTD,10/01/2022,INESA290714,24/05/2022,1442539,11/01/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",UC-SB1-CAM,CRESTRON UC VIDEO CONFERENCE SMART SOUNDBAR & CAMERA,1.00,"1,281.00","1,281.00",128.10,"1,409.10",2148JBM01970
CUS18253,G JAMES AUSTRALIA PTY LTD,14/03/2022,INESA291519,7/06/2022,1463647,14/03/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",512C7PA,ZBOOK FURY 15 G8 I7-11850H VPRO 32GB DDR4-3200 512GB NVME-SS,4.00,"3,533.98","14,135.92","1,413.60","15,549.52","CND2191XK5, CND2191XKR, CND2191XJQ, CND2191XL6"
CUS18253,G JAMES AUSTRALIA PTY LTD,14/03/2022,INESA291519,7/06/2022,1463647,14/03/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",U02BSE,HP 5y NextBusDayOnsite Notebook Only SVC Zbook 33x Warranty,4.00,269.56,"1,078.24",107.82,"1,186.06",
CUS18253,G JAMES AUSTRALIA PTY LTD,21/03/2022,INESA291516,7/06/2022,1467664,21/03/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",512C7PA,ZBOOK FURY 15 G8 I7-11850H VPRO 32GB DDR4-3200 512GB NVME-SS,1.00,"3,553.98","3,553.98",355.40,"3,909.38",CND2191XKC
CUS18253,G JAMES AUSTRALIA PTY LTD,28/03/2022,INESA291515,7/06/2022,1469912,28/03/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",512C7PA,ZBOOK FURY 15 G8 I7-11850H VPRO 32GB DDR4-3200 512GB NVME-SS,1.00,"3,533.98","3,533.98",353.39,"3,887.37",CND2191XL9
CUS18253,G JAMES AUSTRALIA PTY LTD,28/03/2022,INESA291515,7/06/2022,1469912,28/03/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",U02BSE,HP 5y NextBusDayOnsite Notebook Only SVC Zbook 33x Warranty,1.00,269.56,269.56,26.96,296.52,
CUS18253,G JAMES AUSTRALIA PTY LTD,28/03/2022,INESA291515,7/06/2022,1469912,,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",FREIGHT,FREIGHT,1.00,20.00,20.00,2.00,22.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,31/03/2022,INESA291418,6/06/2022,1471998,21/04/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",6G9D7PA,ELITEBOOK 650 G9 I5-1235U 16GB DDR4-3200 512GB PCIE NVME 15,1.00,"1,765.55","1,765.55",176.56,"1,942.11",5CD219CMPB
CUS18253,G JAMES AUSTRALIA PTY LTD,20/04/2022,INESA291632,8/06/2022,1478481,,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",FREIGHT,FREIGHT,19.00,20.00,380.00,38.00,418.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,22/04/2022,INESA289936,11/05/2022,1479194,5/05/2022,636 Southport Nerang RoadASHMORE QLD 4214AUS,LF24T450FQEXXY,"SAMSUNG 24"" (16:9) IPS LED, 1920x1080, 4MS, DP, HDMI(2), H/A",1.00,305.55,305.55,30.56,336.11,CXSAH4ZT200311
CUS18253,G JAMES AUSTRALIA PTY LTD,6/06/2022,CNESA07022,8/06/2022,,,Warehouse 213-15 Lyon Park RoadNORTH RYDE NSW 2113,LF24T450FQEXXY,"SAMSUNG 24"" (16:9) IPS LED, 1920x1080, 4MS, DP, HDMI(2), H/A",-1.00,305.55,-305.55,-30.56,-336.11,CXSAH4ZRC00044
CUS18253,G JAMES AUSTRALIA PTY LTD,26/04/2022,INESA290360,19/05/2022,1480635,26/04/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",4D8B1PA,ELITEDESK 800 G8 DESKTOP MINI I5-11500T 8GB DDR4-3200 256GB,12.00,"1,102.63","13,231.56","1,323.15","14,554.71","8CC1330DZS, 8CC1330DF8, 8CC1330DZN, 8CC1330DS2, 8CC1330DXC, 8CC1330DD4, 8CC1330DY1, 8CC1330DRB, 8CC1323YHD, 8CC1323YFY, 8CC1330DD3, 8CC1330DBD"
