Health Status,Name,IP,OS,Protection,Last user,Last active,Group,Tamper protection
Healthy,GJLT-0868,10.29.4.175;,Windows 10 Enterprise,Intercept X Advanced,e103508,"Jun 1, 2023 9:34 AM",,On
Healthy,GJLT-0993,10.36.4.112;,Windows 10 Enterprise,Intercept X Advanced,e005238,"Jun 1, 2023 9:34 AM",,On
Healthy,GJWS-0801,10.64.4.169;,Windows 10 Enterprise,Intercept X Advanced,e104307,"Jun 1, 2023 9:34 AM",,On
Healthy,GJWS-1593,10.51.5.177;,Windows 10 Enterprise,Intercept X Advanced,e017119,"Jun 1, 2023 9:34 AM",,On
Healthy,GJEF15VPC001,172.24.66.60;,Windows 10 Enterprise,Intercept X Advanced,Operator,"Jun 1, 2023 9:33 AM",,On
Healthy,GJLT-0329,10.29.4.183;10.29.5.183;,Windows 10 Enterprise,Intercept X Advanced,e017074,"Jun 1, 2023 9:33 AM",,On
Healthy,GJLT-0344,10.64.4.100;10.64.5.200;,Windows 10 Enterprise,Intercept X Advanced,e018811,"Jun 1, 2023 9:33 AM",,On
Healthy,GJLT-0852,10.27.5.179;,Windows 10 Enterprise,Intercept X Advanced,e023607,"Jun 1, 2023 9:33 AM",,On
Healthy,GJPC-0410,10.31.4.100;,Windows 10 Enterprise,Intercept X Advanced,e021295,"Jun 1, 2023 9:33 AM",,On
Healthy,GJWS-0934,10.34.4.187;,Windows 10 Enterprise,Intercept X Advanced,e103261,"Jun 1, 2023 9:33 AM",,On
Healthy,GJDC01EWS-MikeS,10.11.29.107;,Windows 10 Enterprise,Intercept X Advanced,e009753,"Jun 1, 2023 9:32 AM",,On
Healthy,GJDC01TVW001,192.168.7.101;,Windows 10 Enterprise,Intercept X Advanced,ad-e103978,"Jun 1, 2023 9:32 AM",,On
Healthy,GJDC01TVW004,192.168.39.174;,Windows 10 Enterprise,Intercept X Advanced,ad-e101622,"Jun 1, 2023 9:32 AM",,On
Healthy,GJWS-0558,10.64.5.136;,Windows 10 Enterprise,Intercept X Advanced,e002167,"Jun 1, 2023 9:32 AM",,On
