Health Status,Name,IP,OS,Protection,Last user,Last active,Group,Tamper protection
Healthy,GJWS-0712,10.58.4.115;,Windows 10 Enterprise,Intercept X Advanced,e006964,"Jul 7, 2023 2:53 PM",,On
Healthy,GJWS-0752,10.69.4.154;,Windows 10 Enterprise,Intercept X Advanced,e022034,"Jul 7, 2023 2:53 PM",,On
Healthy,GJWS-1173,10.27.4.186;,Windows 10 Enterprise,Intercept X Advanced,e100232,"Jul 7, 2023 2:53 PM",,On
Healthy,GJLT-1429,10.27.4.104;,Windows 10 Enterprise,Intercept X Advanced,e003130,"Jul 7, 2023 2:52 PM",,On
Healthy,GJLT-1435,10.54.4.147;,Windows 11 Enterprise,Intercept X Advanced,e103396,"Jul 7, 2023 2:52 PM",,On
Healthy,GJWS-1180,10.35.4.184;,Windows 10 Enterprise,Intercept X Advanced,e102536,"Jul 7, 2023 2:52 PM",,On
Healthy,GJWS-1545,10.59.4.177;,Windows 10 Enterprise,Intercept X Advanced,e008176,"Jul 7, 2023 2:52 PM",,On
Questionable,GJWS-1570,10.33.37.29;,Windows 10 Enterprise,Intercept X Advanced,Operator,"Jul 7, 2023 2:52 PM",,On
Questionable,p612gjs40,172.24.250.100;,Windows 10 Pro,Intercept X Advanced,e103893,"Jul 7, 2023 2:52 PM",,On
Healthy,GJLT-1532,192.168.0.21;10.243.8.240;2001:8003:1637:5100:5582:a880:f1fb:3233;2001:8003:1637:5100:c:a42b:1fbe:486e;2001:8003:1637:5100:4435:ea10:af6:624c;2001:8003:1637:5100:c421:7393:e9ed:d22d,Windows 10 Enterprise,Intercept X Advanced,e007851,"Jul 7, 2023 2:51 PM",,On
Healthy,GJLT-1581,10.29.4.184;,Windows 11 Enterprise,Intercept X Advanced,e018061,"Jul 7, 2023 2:51 PM",,On
Healthy,GJPC-0084,10.64.5.142;,Windows 10 Enterprise,Intercept X Advanced,e102049,"Jul 7, 2023 2:51 PM",,On
Healthy,GJPC-0359,10.42.4.178;,Windows 10 Enterprise,Intercept X Advanced,e018079,"Jul 7, 2023 2:51 PM",,On
Healthy,GJTA-0607,10.31.4.105;10.31.5.101;,Windows 10 Enterprise,Intercept X Advanced,e100237,"Jul 7, 2023 2:51 PM",,On
Healthy,GJWS-0743,10.49.4.181;,Windows 10 Enterprise,Intercept X Advanced,e104109,"Jul 7, 2023 2:51 PM",,On
Healthy,GJWS-1072,10.25.4.111;,Windows 10 Enterprise,Intercept X Advanced,e017469,"Jul 7, 2023 2:51 PM",,On
Healthy,GJWS-4014,10.55.4.166;,Windows 10 Enterprise,Intercept X Advanced,e016566,"Jul 7, 2023 2:51 PM",,On
Healthy,GJWS-4021,10.64.4.193;,Windows 10 Enterprise,Intercept X Advanced,Operator,"Jul 7, 2023 2:51 PM",,On
Questionable,GJDC01DMS003,192.168.7.99;,Windows 10 Enterprise,Intercept X Advanced,svc_presezzi,"Jul 7, 2023 2:50 PM",,On
Healthy,GJWS-0556,10.35.4.106;,Windows 10 Enterprise,Intercept X Advanced,e103397,"Jul 7, 2023 2:50 PM",,On
Healthy,GJWS-0618,10.46.4.102;,Windows 10 Enterprise,Intercept X Advanced,e000436,"Jul 7, 2023 2:50 PM",,On
Healthy,GJWS-0736,10.63.4.151;,Windows 10 Enterprise,Intercept X Advanced,e103810,"Jul 7, 2023 2:50 PM",,On
Healthy,GJWS-1203,10.64.34.107;,Windows 10 Enterprise,Intercept X Advanced,Operator,"Jul 7, 2023 2:50 PM",,On
Healthy,GJEF15PCV002,10.11.29.192;,Windows 7 Enterprise Service Pack 1,Intercept X Advanced,Operator,"Jul 7, 2023 2:49 PM",,On
Questionable,GJEF15VPC002,172.24.66.61;,Windows 10 Enterprise,Intercept X Advanced,Operator,"Jul 7, 2023 2:49 PM",,On
Healthy,GJLT-1054,10.16.4.101;,Windows 10 Enterprise,Intercept X Advanced,e103740,"Jul 7, 2023 2:49 PM",,On
Healthy,GJLT-1400,10.64.5.113;192.168.73.1;192.168.202.1;,Windows 10 Enterprise,Intercept X Advanced,e103688,"Jul 7, 2023 2:49 PM",,On
Healthy,GJLT-1406,10.55.4.83;10.55.5.190;,Windows 10 Enterprise,Intercept X Advanced,e104039,"Jul 7, 2023 2:49 PM",,On
Healthy,GJLT-1428,10.49.5.177;,Windows 10 Enterprise,Intercept X Advanced,e100534,"Jul 7, 2023 2:49 PM",,On
Healthy,GJLT-1662,10.29.4.172;10.29.5.100;,Windows 10 Enterprise,Intercept X Advanced,e103959,"Jul 7, 2023 2:49 PM",,On
Healthy,GJPC-0345,10.64.5.105;10.93.54.154;,Windows 10 Enterprise,Intercept X Advanced,davids91,"Jul 7, 2023 2:49 PM",,On
Healthy,GJPC-0499,10.59.5.100;,Windows 10 Enterprise,Intercept X Advanced,e007644,"Jul 7, 2023 2:49 PM",,On
Healthy,GJWS-0588,10.55.4.54;,Windows 10 Enterprise,Intercept X Advanced,e023847,"Jul 7, 2023 2:49 PM",,On
Healthy,GJWS-0819,10.30.4.108;,Windows 10 Enterprise,Intercept X Advanced,e104148,"Jul 7, 2023 2:49 PM",,On
Healthy,GJWS-0950,10.33.4.109;,Windows 10 Enterprise,Intercept X Advanced,e004794,"Jul 7, 2023 2:49 PM",,On
Healthy,GJWS-1591,10.27.5.175;,Windows 10 Enterprise,Intercept X Advanced,e008457,"Jul 7, 2023 2:49 PM",,On
Healthy,GJWS-4009,10.55.4.144;,Windows 10 Enterprise,Intercept X Advanced,c900177,"Jul 7, 2023 2:49 PM",,On
Healthy,GJLT-0466,10.64.4.129;10.64.5.112;,Windows 10 Enterprise,Intercept X Advanced,e009735,"Jul 7, 2023 2:48 PM",,On
Healthy,GJLT-1151,10.55.4.79;,Windows 10 Enterprise,Intercept X Advanced,e000007,"Jul 7, 2023 2:48 PM",,On
Healthy,GJLT-1441,10.58.12.174;10.58.5.106;,Windows 10 Enterprise,Intercept X Advanced,e103844,"Jul 7, 2023 2:48 PM",,On
Healthy,GJLT-1612,10.33.5.103;,Windows 10 Enterprise,Intercept X Advanced,e103840,"Jul 7, 2023 2:48 PM",,On
