"Device","User","Computer Name","ESN","Firmware","Jabra Direct Version","Last seen"
Jabra Elite 75t,e102547,GJPC-0424,50C2ED6CD455,2.0.0,6.9.16301,06/26/2023 09:00:46
Jabra Evolve 65,e103429,GJPC-0452,50C2ED1B6431,2.97.0,6.8.13001,06/26/2023 23:00:24
Jabra Evolve 65,e103719,GJPC-0454,50C2750F66F9,2.97.0,6.8.13001,06/26/2023 22:56:07
Jabra Evolve 65,e103978,GJLT-1601,50C2ED43C89D,2.97.0,6.9.16301,06/26/2023 21:50:23
Jabra Evolve 65,e103785,GJPC-0144,50C2750CBBC8,2.97.0,6.8.13001,06/18/2023 20:19:54
Jabra Evolve 75,e024067,GJWS-0384,745C4B100C30,2.38.0,6.9.16301,06/26/2023 22:48:41
Jabra EVOLVE LINK MS,e101622,GJLT-1409,000DA12C1ADE,4.1.0,6.8.13001,06/26/2023 20:49:20
Jabra EVOLVE LINK MS,e102517,GJWS-4053,0001579E44CE,4.1.0,6.9.16301,06/23/2023 01:52:20
Jabra Evolve2 30,e103785,GJPC-0144,B0000005C99A,1.7.0,6.8.13001,06/12/2023 20:07:28
Jabra Link 370,e024067,GJWS-0384,501AA5F5EEF3,1.87.0,6.9.16301,06/26/2023 22:45:40
Jabra Link 370,e103429,GJPC-0452,50C2ED188A94,1.87.0,6.8.13001,06/26/2023 21:07:22
Jabra Link 370,e102547,GJPC-0424,305075063971,1.87.0,6.9.16301,06/26/2023 08:22:45
Jabra Link 380,e103719,GJPC-0454,08C8C2294A5B,1.16.0,6.8.13001,06/26/2023 22:56:07
Jabra Link 380,e103785,GJPC-0144,08C8C20F57B0,1.16.0,6.8.13001,06/18/2023 19:54:54
